tmdb_id,keywords
74241,[]
77949,"[{'id': 236, 'name': 'suicide'}, {'id': 392, 'name': 'england'}, {'id': 1517, 'name': 'classroom'}, {'id': 5340, 'name': 'investigation'}, {'id': 6152, 'name': 'supernatural'}, {'id': 9826, 'name': 'murder'}, {'id': 10103, 'name': 'children'}, {'id': 10224, 'name': 'haunting'}, {'id': 10508, 'name': 'teacher'}, {'id': 10818, 'name': 'author'}, {'id': 13073, 'name': 'fear'}, {'id': 155881, 'name': 'estate'}, {'id': 159608, 'name': 'con'}, {'id': 162342, 'name': 'discovery'}, {'id': 162846, 'name': 'ghost'}, {'id': 165468, 'name': 'governess'}]"
62395,[]
333346,[]
103462,"[{'id': 187056, 'name': 'woman director'}]"
9429,"[{'id': 1759, 'name': 'night life'}, {'id': 2334, 'name': 'nightclub'}, {'id': 2382, 'name': 'flower'}, {'id': 2779, 'name': 'flower shop'}, {'id': 6664, 'name': 'make a match'}, {'id': 10254, 'name': 'clubbing'}]"
89492,"[{'id': 1157, 'name': 'wife husband relationship'}, {'id': 10103, 'name': 'children'}, {'id': 10235, 'name': 'family relationships'}, {'id': 179431, 'name': 'duringcreditsstinger'}]"
154093,"[{'id': 1674, 'name': 'stage'}, {'id': 4204, 'name': 'deputy'}, {'id': 9503, 'name': 'outlaw'}, {'id': 33600, 'name': 'stagecoach'}, {'id': 155511, 'name': 'stagecoach robbery'}]"
139455,"[{'id': 175388, 'name': 'killer santa claus'}, {'id': 186463, 'name': 'holiday horror'}, {'id': 186466, 'name': 'christmas horror'}]"
29342,"[{'id': 10124, 'name': 'laboratory'}, {'id': 193068, 'name': 'killer bees'}]"
39285,"[{'id': 736, 'name': 'journalist'}, {'id': 818, 'name': 'based on novel'}, {'id': 1568, 'name': 'undercover'}, {'id': 13043, 'name': 'dating'}, {'id': 14522, 'name': 'co-worker'}, {'id': 167516, 'name': 'coworker relationship'}, {'id': 170682, 'name': 'lying'}, {'id': 179431, 'name': 'duringcreditsstinger'}, {'id': 193889, 'name': 'investment firm'}, {'id': 212796, 'name': 'workplace romance'}]"
