adult,belongs_to_collection,budget,genres,homepage,tmdb_id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",,209764,tt2990738,ko,더 테러 라이브,"""I'll blow up Mapo Bridge."" An anonymous call comes into a radio station one day. When it turns out to be legitimate, a terrorist's threats end up getting broadcast live throughout the country.",2.973751,/9VFBtfMRKh5Yfd8jQ4kPhhD441D.jpg,"[{'name': '롯데엔터테인먼트', 'id': 20063}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2013-07-31,0,97.0,"[{'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,,The Terror Live,False,7.1,66
False,,0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",,227094,tt2093270,en,The Returned,"In a post-zombie world, where the infected live normal lives, their retroviral drug is running out.",4.761441,/gMdNeOFGmYXdan1ov835HOio1Qn.jpg,"[{'name': 'Castelao Producciones', 'id': 7956}]","[{'iso_3166_1': 'ES', 'name': 'Spain'}, {'iso_3166_1': 'CA', 'name': 'Canada'}]",2013-11-15,0,98.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Returned,False,6.2,86
False,"{'id': 10522, 'name': 'Starship Troopers Collection', 'poster_path': '/uumu3Xj1ME1632SCsyVJwITgOKZ.jpg', 'backdrop_path': '/hwZXCuY6GVw50o17nDGbSR8WMFJ.jpg'}",9000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}]",,11127,tt0844760,en,Starship Troopers 3: Marauder,"The war against the Bugs continues! A Federation Starship crash-lands on the distant Alien planet OM-1, stranding beloved leader Sky Marshal Anoke and several others, including comely but tough pilot Lola Beck. It's up to Colonel/General Johnny Rico, reluctant hero of the original Bug Invasion on Planet P, to lead a team of Troopers on a daring rescue mission.",11.161339,/vh5nospDpMOxZhyhRiXWWMmSFQe.jpg,"[{'name': 'Bold Films', 'id': 2266}, {'name': 'ApolloMovie Beteiligungs', 'id': 3299}, {'name': 'Film Afrika Worldwide', 'id': 4792}, {'name': 'Sony Pictures Home Entertainment', 'id': 5388}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'ZA', 'name': 'South Africa'}, {'iso_3166_1': 'DE', 'name': 'Germany'}]",2008-07-19,0,105.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Do you have what it takes to be a Citizen?,Starship Troopers 3: Marauder,False,4.2,154
False,,17000000,"[{'id': 35, 'name': 'Comedy'}]",,9429,tt0120770,en,A Night at the Roxbury,"Despite being well into adulthood, brothers Doug and Steve Butabi still live at home and work in the flower shop owned by their dad. They exist only to hit on women at discos, though they're routinely unsuccessful until a chance run-in with Richard Grieco gets them inside the swank Roxbury club. Mistaken for high rollers, they meet their dream women, Vivica and Cambi, and resolve to open a club of their own.",12.480685,/7oZ5xE4AL4D5EbeQUaoRxahgzJX.jpg,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'SNL Studios', 'id': 2822}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1998-10-01,30331165,81.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Score!,A Night at the Roxbury,False,5.9,202
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",,60306,tt0918575,en,Victim,"After being mysteriously kidnapped by a Doctor and his violent henchman, a young man is held captive in the converted cellar of an old mansion. For reasons unknown, he's forced to endure heinous physical and psychological torture, but slowly realizes the worst is yet to come when the Doctor's brutal plan for him is finally revealed….",0.840678,/xBBTTpAIp3fuT9iFiYxaJmp7afD.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2010-11-17,0,74.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,It's not always who you think.,Victim,False,4.0,12
False,,15000,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10752, 'name': 'War'}]",http://www.mgs-philanthropy.net,58589,tt1543283,en,Metal Gear Solid: Philanthropy,"METAL GEAR SOLID PHILANTHROPY is a movie inspired by the Hideo Kojima’s videogame series “Metal Gear Solid”. It is not a Hollywood-style production, better a fan movie made out of the passion of some fans, non profit and no budget. The movie has been released on September 27th, 2009, for free.",0.254232,/jlpRq1CNn8ftQI3yKFBcmLYX58R.jpg,[],"[{'iso_3166_1': 'IT', 'name': 'Italy'}]",2009-09-27,0,69.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,A Non Profit Fanmovie Based On The Games By Hideo Kojima,Metal Gear Solid: Philanthropy,False,6.4,7
False,,0,[],,324345,tt3263548,en,The Seventh Fire,"When Rob Brown, a Native American gang leader on a remote Minnesota reservation, is sentenced to prison for a fifth time, he must confront his role in bringing violent drug culture into his beloved Ojibwe community. As Rob reckons with his past, his seventeen-year-old protégé, Kevin, dreams of the future - becoming the biggest drug dealer on the reservation.",0.469971,/oHRboqnXfTX8Gjd5hh57mpKWLsO.jpg,[],[],2015-02-07,0,78.0,[],Released,,The Seventh Fire,False,6.5,2
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",,18988,tt0063227,en,The Lion in Winter,"1183 AD: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. They and his wife variously plot to force him.",7.056355,/xcOcwbejB0T8HzapOizUwi6HZTi.jpg,"[{'name': 'AVCO Embassy Pictures', 'id': 494}, {'name': 'Haworth Productions', 'id': 18135}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1968-01-01,0,134.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The most significant reserved seat attraction of the year!,The Lion in Winter,False,7.6,89
False,,0,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 99, 'name': 'Documentary'}]",,318973,tt3962848,en,Welcome to Leith,"In September 2012, the tiny prairie town of Leith, North Dakota, saw its population of 24 grow by one. Trouble had come to town.",2.072847,/f9ovXeSRnOSxCh4jMIhkzg9jKSz.jpg,"[{'name': 'Sundial Pictures', 'id': 10479}, {'name': 'No Weather Productions', 'id': 77717}, {'name': 'The Cinemart', 'id': 77718}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2015-09-09,0,85.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Know your neighbors.,Welcome to Leith,False,6.4,26
False,,0,[],,246829,tt0239632,it,Metronotte,,0.413144,/56XlN4xdJAFYj9HVKc89Rhu35SJ.jpg,[],[],2000-03-31,0,,"[{'iso_639_1': 'it', 'name': 'Italiano'}]",Released,,Metronotte,False,0.0,0
False,,0,"[{'id': 35, 'name': 'Comedy'}]",,39064,tt0441641,id,Janji Joni,A film delivery man promises a beautiful young woman to deliver a film reel on time to a movie theater. But the the whole city seems to conspire against him.,0.24535,/nrueP5XBjqu1BMYj21RhgPSiciN.jpg,"[{'name': 'Focus Films', 'id': 1268}, {'name': 'Kalyana Shira Film', 'id': 29648}]","[{'iso_3166_1': 'ID', 'name': 'Indonesia'}]",2005-04-26,0,83.0,"[{'iso_639_1': 'id', 'name': 'Bahasa indonesia'}]",Released,,Joni's Promise,False,6.8,6
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}]",,64454,tt0079264,de,Die Hamburger Krankheit,"When a plague breaks out in Hamburg, several people break out of quarantine and make their way out of the city... only to find that the plague is more widespread.",0.814198,/w65zZeEj0wEs9TfNDxk311uiCSD.jpg,"[{'name': 'Zweites Deutsches Fernsehen (ZDF)', 'id': 4606}, {'name': 'Bioskop Film', 'id': 5982}, {'name': 'Terra Filmkunst', 'id': 8219}, {'name': 'Hallelujah-Film GmbH', 'id': 38298}, {'name': 'Coleidon-Film', 'id': 47077}, {'name': 'S.N.D.', 'id': 47078}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'DE', 'name': 'Germany'}]",1979-11-22,0,117.0,"[{'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,The Hamburg Syndrome,False,5.8,7
False,,0,"[{'id': 18, 'name': 'Drama'}]",,45590,tt0053258,en,Segodnya uvolneniya ne budet,Soldiers undertake the perilous task of removing a stockpile of World War II bombshells discovered during roadworks under the ground of a small village.,1.239331,/tv2v70efu3bLQlNv9jd9oDkVcmE.jpg,[],"[{'iso_3166_1': 'RU', 'name': 'Russia'}]",1959-05-09,0,46.0,"[{'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,There Will Be No Leave Today,False,6.3,3
False,"{'id': 227140, 'name': 'Black Emanuelle Collection', 'poster_path': '/hah1bC0sGv9Eatq01673DW0E1dL.jpg', 'backdrop_path': '/ceX5Y46RTjC628xk08b6mnEetMn.jpg'}",0,"[{'id': 18, 'name': 'Drama'}]",,40348,tt0072930,it,Emanuelle nera,"In her first onscreen adventure, journalist/photographer Mae Jordan (known to her readers as ""Emanuelle"") travels to Africa on assignment. Questions of her own racial and sexual identity come to a head as she observes the troubled marriage of her hosts, Ann and Gianni Danieli. Matters are complicated further when Emanuelle finds herself in affairs with both of them, after which she flees Africa, only to be persued by Gianni, who had earlier rejected her and ridiculed her advances.",1.479627,/hFlfmv5oOLxmbybo2ruX7B9b514.jpg,"[{'name': 'Flaminia Produzioni Cinematografiche', 'id': 1526}, {'name': 'Emaus Films S.A.', 'id': 28535}, {'name': 'San Nicola Produzione Cinematografica', 'id': 41819}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}, {'iso_3166_1': 'ES', 'name': 'Spain'}]",1975-11-27,0,94.0,"[{'iso_639_1': 'it', 'name': 'Italiano'}]",Released,No one is ever the same after ...,Black Emanuelle,False,4.2,11
False,,500000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",,25111,tt0099546,en,Far Out Man,An aging hippie sets out on a trip across America to find his family.,1.522173,/17ivrq2ziE8CZ4oknJXuXEBVE3T.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1990-05-11,0,81.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,He's a visitor from another time... The 60's,Far Out Man,False,5.1,9
